"date","shrub_num","aspect","tag_num","treatment","species","plant_nr","dist_fr_shr","tp_color","flower_type","flower_count"
2021-08-19,30,"south",160,"control","CARRUP",3,NaN,"YD","new",0
2021-08-19,30,"south",160,"control","CARRUP",3,NaN,"YD","old",0
2021-06-15,30,"south",160,"control","CARRUP",4,NaN,"RD","new",0
2021-06-15,30,"south",160,"control","CARRUP",4,NaN,"RD","old",0
2021-06-17,30,"south",160,"control","CARRUP",4,NaN,"RD","new",0
2021-06-17,30,"south",160,"control","CARRUP",4,NaN,"RD","old",0
2021-06-22,30,"south",160,"control","CARRUP",4,NaN,"RD","new",1
2021-06-22,30,"south",160,"control","CARRUP",4,NaN,"RD","old",0
2021-06-30,30,"south",160,"control","CARRUP",4,NaN,"RD","new",0
2021-06-30,30,"south",160,"control","CARRUP",4,NaN,"RD","old",1
2021-07-01,30,"south",160,"control","CARRUP",4,NaN,"RD","new",NaN
2021-07-01,30,"south",160,"control","CARRUP",4,NaN,"RD","old",NaN
2021-07-08,30,"south",160,"control","CARRUP",4,NaN,"RD","new",0
2021-07-08,30,"south",160,"control","CARRUP",4,NaN,"RD","old",0
2021-07-14,30,"south",160,"control","CARRUP",4,NaN,"RD","new",0
2021-07-14,30,"south",160,"control","CARRUP",4,NaN,"RD","old",0
2021-07-21,30,"south",160,"control","CARRUP",4,NaN,"RD","new",0
2021-07-21,30,"south",160,"control","CARRUP",4,NaN,"RD","old",0
2021-07-28,30,"south",160,"control","CARRUP",4,NaN,"RD","new",0
2021-07-28,30,"south",160,"control","CARRUP",4,NaN,"RD","old",0
2021-08-04,30,"south",160,"control","CARRUP",4,NaN,"RD","new",0
2021-08-04,30,"south",160,"control","CARRUP",4,NaN,"RD","old",0
2021-08-10,30,"south",160,"control","CARRUP",4,NaN,"RD","new",0
2021-08-10,30,"south",160,"control","CARRUP",4,NaN,"RD","old",0
2021-08-19,30,"south",160,"control","CARRUP",4,NaN,"RD","new",0
2021-08-19,30,"south",160,"control","CARRUP",4,NaN,"RD","old",0
2021-06-15,30,"south",160,"control","CARRUP",5,NaN,"WD","new",0
2021-06-15,30,"south",160,"control","CARRUP",5,NaN,"WD","old",0
2021-06-17,30,"south",160,"control","CARRUP",5,NaN,"WD","new",0
2021-06-17,30,"south",160,"control","CARRUP",5,NaN,"WD","old",0
2021-06-22,30,"south",160,"control","CARRUP",5,NaN,"WD","new",1
2021-06-22,30,"south",160,"control","CARRUP",5,NaN,"WD","old",0
2021-06-30,30,"south",160,"control","CARRUP",5,NaN,"WD","new",0
2021-06-30,30,"south",160,"control","CARRUP",5,NaN,"WD","old",1
2021-07-01,30,"south",160,"control","CARRUP",5,NaN,"WD","new",NaN
2021-07-01,30,"south",160,"control","CARRUP",5,NaN,"WD","old",NaN
2021-07-08,30,"south",160,"control","CARRUP",5,NaN,"WD","new",0
2021-07-08,30,"south",160,"control","CARRUP",5,NaN,"WD","old",0
2021-07-14,30,"south",160,"control","CARRUP",5,NaN,"WD","new",0
2021-07-14,30,"south",160,"control","CARRUP",5,NaN,"WD","old",0
